label,evaluated,answerable,unanswerable,recall@1,hit@1,mrr@1,ndcg@1,precision@1,recall@3,hit@3,mrr@3,ndcg@3,precision@3,recall@5,hit@5,mrr@5,ndcg@5,precision@5,recall@10,hit@10,mrr@10,ndcg@10,precision@10,exact_match,token_f1,rouge_l,unanswerable_accuracy,embedding_latency_sec,dense_search_latency_sec,graph_latency_sec,generation_latency_sec,total_latency_sec,median_total_latency_sec,p95_total_latency_sec,bm25_search_latency_sec,fusion_latency_sec
all_cases | DenseOnly,500,400,100,0.0721666666666666,0.082,0.082,0.082,0.082,0.2043333333333333,0.224,0.1446666666666666,0.154123193015842,0.078,0.2942333333333333,0.322,0.1670666666666666,0.1922923865931678,0.068,0.3883666666666667,0.426,0.1813436507936508,0.2250430816648911,0.0464,0.0,0.2081406956656232,0.1847487431276606,0.38,0.0340233045100001,0.7684305818840035,0.0,5.178766166994018,5.9812200533880215,5.482667183499871,9.945985922649376,,
all_cases | DenseGraph,500,400,100,0.0721666666666666,0.082,0.082,0.082,0.082,0.2013333333333333,0.218,0.1423333333333333,0.1527740135344021,0.0773333333333333,0.2839666666666666,0.308,0.1629333333333333,0.1877981514522346,0.066,0.2891666666666667,0.312,0.1636,0.189904695874316,0.034,0.0,0.2148744933485873,0.1903563025980871,0.41,0.0340233045100001,0.7684305818840035,0.001724535697996,4.727215705813981,5.53139412790598,4.997983770500014,9.749538726650115,,
answerable_only | DenseOnly,400,400,0,0.0902083333333333,0.1025,0.1025,0.1025,0.1025,0.2554166666666667,0.28,0.1808333333333333,0.1926539912698026,0.0975,0.3677916666666667,0.4025,0.2088333333333333,0.2403654832414598,0.085,0.4854583333333333,0.5325,0.2266795634920635,0.2813038520811139,0.058,0.0,0.1948512158526908,0.1664800493312308,,0.033043734525003,0.765476484157499,0.0,5.082609298175024,5.881129516857526,5.4269401910003126,9.838269113800193,,
answerable_only | DenseGraph,400,400,0,0.0902083333333333,0.1025,0.1025,0.1025,0.1025,0.2516666666666667,0.2725,0.1779166666666666,0.1909675169180027,0.0966666666666666,0.3549583333333333,0.385,0.2036666666666666,0.2347476893152933,0.0825,0.3614583333333334,0.39,0.2045,0.237380869842895,0.0425,0.0,0.1986740304776958,0.1691411024967164,,0.033043734525003,0.765476484157499,0.0016655796449947,4.687552572714984,5.4877383710424805,4.933825992999573,9.733617685799686,,
unanswerable_only | DenseOnly,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261298614917353,0.2578235183133798,0.38,0.0379415844499885,0.7802469727900211,0.0,5.563393642269996,6.381582199510006,6.06719416650003,10.659086504200353,,
unanswerable_only | DenseGraph,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796763448321533,0.2752171030035698,0.41,0.0379415844499885,0.7802469727900211,0.0019603599100014,4.885868238209968,5.706017155359978,5.104524724000385,10.523169283499987,,
all_cases | HybridOnly,500,400,100,0.0973,0.11,0.11,0.11,0.11,0.2066333333333333,0.228,0.1563333333333333,0.1623917536455292,0.078,0.2512,0.274,0.1668333333333333,0.1808299041487899,0.058,0.3405333333333333,0.372,0.1801555555555555,0.2110482601770006,0.0394,0.0,0.2138373986877117,0.1911320084479676,0.38,0.0344056496940429,0.8353019610799274,0.0,3.797148049480096,31.657175577836085,31.53847361092329,33.62253969822367,26.990073054422,0.0002468631600168
all_cases | HybridGraph,500,400,100,0.0973,0.11,0.11,0.11,0.11,0.1971,0.21,0.15,0.15843221282265,0.076,0.2394,0.254,0.1601999999999999,0.1757440107245207,0.0564,0.2460666666666666,0.26,0.1609833333333333,0.178204266409611,0.0292,0.0,0.2260138760394979,0.2008428782482703,0.47,0.0344056496940429,0.8353019610799274,0.0029370366140392,3.5059778065840077,31.368942371554034,31.179515889921,33.31181734487244,26.990073054422,0.0002468631600168
answerable_only | HybridOnly,400,400,0,0.121625,0.1375,0.1375,0.1375,0.1375,0.2582916666666666,0.285,0.1954166666666666,0.2029896920569115,0.0975,0.314,0.3425,0.2085416666666666,0.2260373801859874,0.0725,0.4256666666666667,0.465,0.2251944444444444,0.2638103252212508,0.0492499999999999,0.0,0.1989716004711582,0.1718905671339045,,0.0332883051400722,0.834006269054953,0.0,3.861328169637586,31.718945840149622,31.590622834421712,33.62626642812382,26.990073054422,0.0002500418950148
answerable_only | HybridGraph,400,400,0,0.121625,0.1375,0.1375,0.1375,0.1375,0.2463749999999999,0.2625,0.1875,0.1980402660283125,0.095,0.29925,0.3175,0.2002499999999999,0.2196800134056508,0.0705,0.3075833333333333,0.325,0.2012291666666666,0.2227553330120138,0.0365,0.0,0.2014023248740032,0.1710175363556568,,0.0332883051400722,0.834006269054953,0.0028610019650068,3.5508965197575253,31.411375192234573,31.226748264420795,33.31181734487244,26.990073054422,0.0002500418950148
unanswerable_only | HybridOnly,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733005915539256,0.2680977737042199,0.38,0.0388750279099258,0.8404847291798251,0.0,3.5404275688501365,31.41009452858191,31.35131991942461,33.6012631809207,26.990073054422,0.0002341482200245
