,Runner,To do ,Dense,Sparse,Graph,RRF Fusion ,Global Reranker,Generator,Recall@1,Hit@1,MRR@1,ndcg@1,precision@1,Recall@5,Hit@5,MRR@5,ndcg@5,precision@5,Recall@10,Hit@10,MRR@10,ndcg@10,precision@10,token_f1,roughe_l,unanswerable_accuracy,avg_ce_latency,avg_total_latency,Deadline
"Ablation 1:
Chunk-only vs Chunk+Meta",Thảo,Chunk-only ,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,
,Thảo,Chunk+Metadata,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0902,0.1025,0.1025,0.1025,0.1025,0.3678,0.4025,0.2088,0.2404,0.0850,0.4855,0.5325,0.2267,0.2813,0.0580,0.2836,0.2488,0.872,1.0095,4.2902,
"Ablation 2: 
Dense vs Hybrid
Graph vs Hybrid+Graph ",Kiệt,Retrieval Dense Only,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,
,Bình,BM25 ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0651,0.0750,0.0750,0.0750,0.0750,0.1585,0.1725,0.1135,0.1186,0.0355,0.2225,0.2375,0.1223,0.1399,0.0250,0.2006,0.1747,0.704,0.0001,3.2357,
,Kiệt,Retrieval Hybrid (Sparse+Dense),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0.0902,0.1025,0.1025,0.1025,0.1025,0.3291,0.3675,0.1892,0.2154,0.0775,0.4842,0.5375,0.2125,0.2687,0.0578,0.2761,0.2397,0.874,0.9832,5.1,
,,Retrieval Dense + Graph,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,Retrieval Hybrid (Sparse+Dense) + Graph,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,
"Ablation 3: 
Reranker",Kiệt,Rerank-None-Hybrid,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0.0960,0.1100,0.1100,0.1100,0.1100,0.3291,0.3675,0.1933,0.2180,0.0775,0.4842,0.5375,0.2167,0.2714, ,0.2735,0.2379,0.862,0.0000,3.8507,
,Kiệt,Rerank-RRF-Hybrid,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.1343,0.1500,0.1500,0.1500,0.1500,0.3210,0.3525,0.2163,0.2335,0.0745,0.4382,0.4800,0.2335,0.2728,0.0508,0.2735,0.2400,0.864,0.0000,3.9679,
,Kiệt,Rerank-CrossEncoder-Hybrid,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0.1495,0.1700,0.1700,0.1700,0.1700,0.3795,0.4250,0.2651,0.2804,0.0905,0.5005,0.5500,0.2818,0.3221,0.0610,0.2700,0.2356,0.830,0.3899,4.0756,
,Kiệt,Rerank-RRF+CrossEncoder-Hybrid,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.1444,0.1600,0.1600,0.1600,0.1600,0.3878,0.4250,0.2618,0.2832,0.0925,0.4640,0.5075,0.2731,0.3099,0.0563,0.2719,0.2363,0.830,0.4018,4.6171,
"Ablation 4:
LLM Reasoning",,Base Reasoning,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,CoT Reasoning,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,Larger Model with Base Reasoning,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,Larger Model with CoT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
"Ablation 3.1:
Reranker Choices
(Fix Retrieval)
",,RRF for Fusion,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,Adjust k for RRF or propose another algorithm,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,Cross Encoder,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
,,Study between different cross Encoder,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
