config,ablation,owner,source,subset,n,recall@10,hit@10,mrr@10,ndcg@10,precision@10,exact_match,token_f1,rouge_l,unanswerable_accuracy,avg_total_latency_s
ChunkOnly-Dense,Ablation 1,Thao,"notebooks/ablation/thao_work/ablation-1 (1).ipynb cell 10 (e2e-top10 raw_faiss; ret/gen denom 400, unans denom 100)",answerable_only,400,0.4847,0.535,0.2861,0.3221,,0.145,0.2491,0.2195,0.828,3.8835
Dense-ChunkMeta,Ablation 1,Thao,Dense-ChunkMeta/retrieval_metrics.json (retrieval identical to Thao e2e-top10 ChunkMeta: R@10 0.4855/MRR 0.2267/nDCG 0.2813; generation from stored run),all_cases,500,0.4855,0.5325,0.2267,0.2813,0.058,0.1525,0.2836,0.2488,0.872,4.2902
BM25-Only,Ablation 2,Binh,BM25-Only/retrieval_metrics.json,all_cases,500,0.2225,0.2375,0.1223,0.1399,0.025,0.1275,0.2006,0.1747,0.704,3.2357
DenseOnly,Ablation 2+3,Ly,DenseOnly-DenseGraph-HybridOnly-HybridGraph/report_ready_summary.csv,all_cases,500,0.3884,0.426,0.1813,0.225,0.0464,0.0,0.2081,0.1847,0.38,5.9812
DenseGraph,Ablation 3,Ly,DenseOnly-DenseGraph-HybridOnly-HybridGraph/report_ready_summary.csv,all_cases,500,0.2892,0.312,0.1636,0.1899,0.034,0.0,0.2149,0.1904,0.41,5.5314
HybridOnly,Ablation 2+3,Ly,DenseOnly-DenseGraph-HybridOnly-HybridGraph/report_ready_summary.csv,all_cases,500,0.3405,0.372,0.1802,0.211,0.0394,0.0,0.2138,0.1911,0.38,31.6572
HybridGraph,Ablation 3,Ly,DenseOnly-DenseGraph-HybridOnly-HybridGraph/report_ready_summary.csv,all_cases,500,0.2461,0.26,0.161,0.1782,0.0292,0.0,0.226,0.2008,0.47,31.3689
Rerank-None-Hybrid,Ablation 4,Kiet,Rerank-None-Hybrid/retrieval_metrics.json,all_cases,500,0.4842,0.5375,0.2167,0.2714,0.0578,0.145,0.2735,0.2379,0.862,3.8507
Rerank-RRF-Hybrid,Ablation 4,Kiet,Rerank-RRF-Hybrid/retrieval_metrics.json,all_cases,500,0.4382,0.48,0.2335,0.2728,0.0508,0.155,0.2735,0.24,0.864,3.9679
Rerank-CrossEncoder-Hybrid,Ablation 4,Kiet,Rerank-CrossEncoder-Hybrid/retrieval_metrics.json,all_cases,500,0.5005,0.55,0.2818,0.3221,0.061,0.1525,0.27,0.2356,0.83,4.0756
Rerank-RRF+CrossEncoder-Hybrid,Ablation 4,Kiet,Rerank-RRF+CrossEncoder-Hybrid/retrieval_metrics.json,all_cases,500,0.464,0.5075,0.2731,0.3099,0.0563,0.135,0.2719,0.2363,0.83,4.6171
Rerank-Qwen3Reranker-Hybrid,Ablation 4-ext,Kiet,notebooks/ablation/kiet_work/comparison.csv (no run folder),all_cases,500,0.5311,0.5827,0.3337,0.3665,0.0636,0.1374,0.2884,0.2552,0.8661,15.6275
Rerank-BGEReranker-Hybrid,Ablation 4-ext,Kiet,notebooks/ablation/kiet_work/comparison.csv (no run folder),all_cases,500,0.5159,0.565,0.3325,0.3641,0.0625,0.1475,0.2872,0.2495,0.874,6.5852
