summary_set,comparison,left_mode,right_mode,recall@1_delta,hit@1_delta,mrr@1_delta,ndcg@1_delta,precision@1_delta,recall@3_delta,hit@3_delta,mrr@3_delta,ndcg@3_delta,precision@3_delta,recall@5_delta,hit@5_delta,mrr@5_delta,ndcg@5_delta,precision@5_delta,recall@10_delta,hit@10_delta,mrr@10_delta,ndcg@10_delta,precision@10_delta,exact_match_delta,token_f1_delta,rouge_l_delta,unanswerable_accuracy_delta,embedding_latency_sec_delta,dense_search_latency_sec_delta,graph_latency_sec_delta,generation_latency_sec_delta,total_latency_sec_delta,median_total_latency_sec_delta,p95_total_latency_sec_delta,bm25_search_latency_sec_delta,fusion_latency_sec_delta
all_cases,DenseGraph_minus_DenseOnly,DenseGraph,DenseOnly,0.0,0.0,0.0,0.0,0.0,-0.0030000000000000027,-0.006000000000000005,-0.0023333333333332984,-0.0013491794814399216,-0.0006666666666667043,-0.010266666666666702,-0.014000000000000012,-0.004133333333333322,-0.004494235140933195,-0.0020000000000000018,-0.09920000000000001,-0.11399999999999999,-0.01774365079365081,-0.0351383857905751,-0.012399999999999994,0.0,0.006733797682964088,0.005607559470426515,0.02999999999999997,0.0,0.0,0.001724535697996,-0.4515504611800374,-0.4498259254820418,-0.48468341299985696,-0.19644719599926042,,
all_cases,HybridGraph_minus_HybridOnly,HybridGraph,HybridOnly,0.0,0.0,0.0,0.0,0.0,-0.00953333333333331,-0.018000000000000016,-0.006333333333333302,-0.003959540822879221,-0.0020000000000000018,-0.011799999999999977,-0.020000000000000018,-0.006633333333333408,-0.005085893424269211,-0.0016000000000000042,-0.0944666666666667,-0.11199999999999999,-0.0191722222222222,-0.032843993767389584,-0.010199999999999997,0.0,0.012176477351786202,0.009710869800302696,0.08999999999999997,0.0,0.0,0.0029370366140392,-0.2911702428960883,-0.28823320628205096,-0.35895772100229095,-0.3107223533512311,0.0,0.0
all_cases,HybridOnly_minus_DenseOnly,HybridOnly,DenseOnly,0.025133333333333396,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.0022999999999999965,0.0040000000000000036,0.011666666666666686,0.0082685606296872,0.0,-0.04303333333333331,-0.04799999999999999,-0.00023333333333330764,-0.011462482444377892,-0.010000000000000002,-0.047833333333333394,-0.05399999999999999,-0.0011880952380952936,-0.013994821487890496,-0.006999999999999999,0.0,0.005696703022088495,0.006383265320307002,0.0,0.00038234518404280105,0.0668713791959239,0.0,-1.3816181175139222,25.675955524448064,26.05580642742342,23.67655377557429,,
all_cases,HybridGraph_minus_DenseGraph,HybridGraph,DenseGraph,0.025133333333333396,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,-0.004233333333333311,-0.008000000000000007,0.007666666666666683,0.0056581992882479,-0.0013333333333332975,-0.04456666666666659,-0.05399999999999999,-0.002733333333333393,-0.012054140727713908,-0.009600000000000004,-0.04310000000000008,-0.05199999999999999,-0.002616666666666684,-0.011700429464704981,-0.004800000000000002,0.0,0.01113938269091061,0.010486575650183183,0.06,0.00038234518404280105,0.0668713791959239,0.0012125009160432,-1.221237899229973,25.837548243648055,26.181532119420986,23.562278618222322,,
answerable_only,DenseGraph_minus_DenseOnly,DenseGraph,DenseOnly,0.0,0.0,0.0,0.0,0.0,-0.0037499999999999756,-0.007500000000000007,-0.0029166666666666785,-0.0016864743517998881,-0.0008333333333334081,-0.012833333333333363,-0.017500000000000016,-0.0051666666666666805,-0.005617793926166487,-0.0025000000000000022,-0.12399999999999994,-0.14249999999999996,-0.022179563492063514,-0.043922982238218916,-0.0155,0.0,0.003822814625005,0.002661053165485594,,0.0,0.0,0.0016655796449947,-0.3950567254600399,-0.39339114581504564,-0.49311419800073963,-0.10465142800050664,,
answerable_only,HybridGraph_minus_HybridOnly,HybridGraph,HybridOnly,0.0,0.0,0.0,0.0,0.0,-0.011916666666666687,-0.022499999999999964,-0.0079166666666666,-0.004949426028598991,-0.0025000000000000022,-0.014749999999999985,-0.025000000000000022,-0.008291666666666697,-0.006357366780336604,-0.0020000000000000018,-0.11808333333333337,-0.14,-0.023965277777777794,-0.041054992209237,-0.0127499999999999,0.0,0.0024307244028450026,-0.0008730307782476854,,0.0,0.0,0.0028610019650068,-0.3104316498800608,-0.30757064791504973,-0.3638745700009167,-0.31444908325138243,0.0,0.0
answerable_only,HybridOnly_minus_DenseOnly,HybridOnly,DenseOnly,0.031416666666666704,0.03500000000000002,0.03500000000000002,0.03500000000000002,0.03500000000000002,0.0028749999999999054,0.004999999999999949,0.01458333333333331,0.010335700787108909,0.0,-0.05379166666666668,-0.06,-0.00029166666666669006,-0.014328103055472385,-0.012500000000000011,-0.05979166666666663,-0.06749999999999995,-0.00148511904761911,-0.017493526859863107,-0.008750000000000105,0.0,0.004120384618467393,0.005410517802673681,,0.0002445706150692034,0.06852978489745398,0.0,-1.2212811285374379,25.837816323292095,26.1636826434214,23.787997314323626,,
answerable_only,HybridGraph_minus_DenseGraph,HybridGraph,DenseGraph,0.031416666666666704,0.03500000000000002,0.03500000000000002,0.03500000000000002,0.03500000000000002,-0.0052916666666668055,-0.010000000000000009,0.009583333333333388,0.007072749110309806,-0.0016666666666665941,-0.055708333333333304,-0.0675,-0.0034166666666667067,-0.015067675909642503,-0.01200000000000001,-0.05387500000000006,-0.065,-0.0032708333333333894,-0.014625536830881192,-0.006000000000000005,0.0,0.002728294396307396,0.0018764338589404017,,0.0002445706150692034,0.06852978489745398,0.0011954223200121,-1.1366560529574588,25.92363682119209,26.292922271421222,23.57819965907275,,
unanswerable_only,DenseGraph_minus_DenseOnly,DenseGraph,DenseOnly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183777299148003,0.017393584690189978,0.02999999999999997,0.0,0.0,0.0019603599100014,-0.6775254040600283,-0.6755650441500274,-0.9626694424996458,-0.1359172207003656,,
unanswerable_only,HybridGraph_minus_HybridOnly,HybridGraph,HybridOnly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051159489147551085,0.05204647211450414,0.08999999999999997,0.0,0.0,0.0032411752101688,-0.21412461496020052,-0.210883439750031,-0.251862798501854,-0.5447583582543345,0.0,0.0
